objectid,filename,youtubeid,vimeoid,title,occupation,date_lifespan,creator,date_certain,date,description,identifier,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement
coll0104,FGV_Visitkort_050B.jpg,,,"Wirén, C.J.",Målare,,,,1870,C.J. Wirén,Saknas,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0105,FGV_Visitkort_051A.jpg,,,"Högstedt, Hanna",Handelsidkerska,,Fredrique Holmstedt,,1896,"Hanna Högstedt, f. Petersson. Föreståndare för Vadstenaboden på Regeringsg. 22 i Stockholm, som sålde linne och spetsar.",F1964_1951,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0106,FGV_Visitkort_051B.jpg,,,"Högstedt, Hanna",Handelsidkerska,,Fredrique Holmstedt,,1896,"Hanna Högstedt, f. Petersson. Föreståndare för Vadstenaboden på Regeringsg. 22 i Stockholm, som sålde linne och spetsar.",F1964_1951,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0107,FGV_Visitkort_052A.jpg,,,"Petterson, Hanna",Fläskhandlerska,,Swen Swensson,,1895,Hanna? Petterson. Fläskhandlerska på Skänningegatan 29. ,F1964_1954,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0108,FGV_Visitkort_052B.jpg,,,"Petterson, Hanna",Fläskhandlerska,,Swen Swensson,,1895,Hanna? Petterson. Fläskhandlerska på Skänningegatan 29. ,F1964_1954,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0109,FGV_Visitkort_053A.jpg,,,"Ström, Carl August",Handlande,,Anders Andersson,,1879,Carl August Ström,F1964_1978,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0110,FGV_Visitkort_053B.jpg,,,"Ström, Carl August",Handlande,,Anders Andersson,,1879,Carl August Ström,F1964_1978,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0111,FGV_Visitkort_054A.jpg,,,"Ström, Carl August",Handlande,,P.M. Lindstedt,,1869,Carl August Ström,F1964_1979,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0112,FGV_Visitkort_054B.jpg,,,"Ström, Carl August",Handlande,,P.M. Lindstedt,,1869,Carl August Ström,F1964_1978,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0113,FGV_Visitkort_055A.jpg,,,"Ström, Carl August",,,Svante Leonard Rydholm,,1864,Carl August Ström,F1964_1980,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
